Article ID,Title,Abstract,Title_p,Abstract_p,Date,contains_drug,contains_disease,contains_treatment,contains_symptom,contains_prevention,contains_healthcare_provider,contains_vaccine,contains_diagnosis
38008732,The Nottingham Ischaemic Cardiovascular Magnetic Resonance resource (NotIs CMR): ,INTRODUCTION: Research utilising artificial intelligence (AI) and cardiovascular ,nottingham ischaem cardiovascular magnet reson resourc noti cmr,introduct research utilis artifici intellig ai cardiovascular,2023-11-27,False,True,False,False,False,False,False,False
38008606,Prognostic factors for critically ill surgical patients with unplanned intensive ,BACKGROUND: Unplanned readmission to the surgical intensive care unit has been ,prognost factor critic ill surgic patient unplan intens,background unplan readmiss surgic intens care unit,2023-11-25,False,True,False,False,False,False,False,False
38008436,Prevalence and Impact of Polyvascular Disease in Patients With Acute Myocardial ,BACKGROUND: This post hoc subanalysis aimed to investigate the impact of ,preval impact polyvascular diseas patient acut myocardi,background post hoc subanalysi aim investig impact,2023-11-23,False,True,False,False,False,False,False,False
38008367,Loss of sodium current caused by a Brugada syndrome-associated variant is ,BACKGROUND: Brugada syndrome (BrS) is an inherited cardiac arrhythmogenic disease ,loss sodium current caus brugada variant,background brugada syndrom br inherit cardiac arrhythmogen diseas,2023-11-24,True,True,False,False,False,False,False,False
38008349,Predictors of Transthoracic Impedance in Patients Undergoing Elective Electrical ,Successful synchronized direct current cardioversion (DCCV) requires adequate ,predictor transthorac imped patient undergo elect electr,success synchron direct current cardiovers dccv requir adequ,2023-11-24,False,True,False,False,False,True,False,False
38008145,Ruxolitinib attenuates acute rejection and can serve as an immune induction ,The benefits of IL2RA antagonists in heart transplant patients are controversial. ,ruxolitinib attenu acut reject serv immun induct,benefit il2ra antagonist heart transplant patient controversi,2023-11-24,False,True,True,False,False,False,False,False
38008132,Body Surface Radiation Exposure in Interventional Echocardiographers During Left ,,bodi surfac radiat exposur intervent echocardiograph left,,2023-11-24,False,True,False,False,False,False,False,False
38008089,The time-effect relationship between time to surgery and in-hospital ,INTRODUCTION: Pneumonia is a common and devastating complication following hip ,relationship time surgeri,introduct pneumonia common devast complic follow hip,2023-11-26,False,True,True,False,False,False,False,False
38008040,Application of artificial intelligence techniques for non-alcoholic fatty liver ,BACKGROUND AND OBJECTIVES: Non-alcoholic fatty liver disease (NAFLD) is a common ,applic artifici intellig techniqu fatti liver,background object fatti liver diseas nafld common,2023-11-22,False,True,True,False,True,False,False,True
38007645,Proteome Network Analysis Identifies Potential Biomarkers for Brain Aging.,BACKGROUND: Alzheimer's disease and related dementias (ADRD) involve biological ,proteom network analysi identifi potenti biomark brain age,background alzheim diseas relat dementia adrd involv biolog,2023-11-22,False,True,False,True,False,False,False,False
38007545,Impact of recombinant human brain natriuretic peptide on emergency dialysis and ,Recombinant human brain natriuretic peptide (rhBNP) effects on type 4 cardiorenal ,impact recombin human brain natriuret peptid emerg dialysi,recombin human brain natriuret peptid rhbnp effect type 4 cardioren,2023-11-25,False,True,False,False,False,False,False,False
38007534,Biologically derived epicardial patch induces macrophage mediated ,"There are nearly 65 million people with chronic heart failure (CHF) globally, ",biolog deriv epicardi patch induc macrophag mediat,nearli 65 million peopl chronic heart failur chf global,2023-11-25,False,True,True,False,False,False,False,False
38007517,Vascular dysfunction caused by loss of Brn-3b/POU4F2 transcription factor in ,Phenotypic and functional changes in vascular smooth muscle cells (VSMCs) ,vascular dysfunct caus loss transcript factor,phenotyp function chang vascular smooth muscl cell vsmc,2023-11-25,False,True,False,False,False,False,False,False
38007375,FGF20.,Fibroblast growth factor 20 (FGF20) is a neurotrophic factor and a member of the ,fgf20,fibroblast growth factor 20 fgf20 neurotroph factor member,2023-11-07,False,True,False,False,False,False,False,False
38007374,FGF18.,FGF18 was discovered in 1998. It is a pleiotropic growth factor that stimulates ,fgf18,fgf18 discov 1998 pleiotrop growth factor stimul,2023-11-07,False,True,False,False,False,False,False,False
38007373,A simple coronary CT angiography-based jeopardy score for the identification of ,PURPOSE: The invasive British Cardiovascular Intervention Society Jeopardy Score ,simpl coronari ct jeopardi score identif,purpos invas british cardiovascular intervent societi jeopardi score,2023-11-24,False,True,False,False,False,False,False,False
38007343,Adherence to recommended vaccination policies for pre- and post-solid organ ,BACKGROUND: Pre-transplant vaccination is recommended for patients undergoing ,adher recommend vaccin polici organ,background vaccin recommend patient undergo,2023-11-24,False,True,False,False,False,False,True,False
38007317,3D Printed Cardiac Models as an Adjunct to Traditional Teaching of Anatomy in ,INTRODUCTION: Three-dimensional (3D) printed cardiac models are increasingly ,3d print cardiac model adjunct tradit teach anatomi,introduct 3d print cardiac model increasingli,2023-11-24,False,True,False,False,False,True,False,False
38007300,Psychosocial factors are associated with sleep disturbances and evening ,OBJECTIVES: To evaluate associations between psychosocial factors and sleep ,psychosoci factor associ sleep disturb even,object evalu associ psychosoci factor sleep,2023-11-24,False,True,False,False,True,False,False,False
38007275,Perfusion Imaging for the Heart.,The use of myocardial perfusion imaging during a stress cardiac magnetic ,perfus imag heart,use myocardi perfus imag stress cardiac magnet,,False,True,False,False,False,False,False,False
38007235,Defining the pathway to timely diagnosis and treatment of interstitial lung ,INTRODUCTION: Timely diagnosis of interstitial lung disease (ILD) is limited by ,defin pathway time diagnosi treatment interstiti lung,introduct time diagnosi interstiti lung diseas ild limit,2023-11-24,False,True,True,True,False,True,False,True
38007167,Best practices for statistical analysis of pretransplant medical urgency.,One of the most important goals of the organ allocation system is to prioritize ,best practic statist analysi pretranspl medic urgenc,one import goal organ alloc system priorit,2023-11-23,False,True,False,False,False,False,False,False
38007148,Plasma metabolite predictors of metabolic syndrome incidence and reversion.,BACKGROUND: Metabolic Syndrome (MetS) is a progressive pathophysiological state ,plasma metabolit predictor metabol syndrom incid revers,background metabol syndrom met progress pathophysiolog state,2023-11-23,False,True,False,False,False,False,False,False
38007081,A review of the epidemiological and laboratory evidence of the role of aluminum ,The objective of the present study was to review the epidemiological and ,review epidemiolog laboratori evid role aluminum,object present studi review epidemiolog,2023-11-23,False,True,True,False,True,False,False,False
